City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Yeppoon,AU,71.38,few clouds,-23.1333,150.7333,Villa Mar Colina
177,Boguchany,RU,71.74,overcast clouds,58.3814,97.4531,Uyut
178,Awbari,LY,75.45,clear sky,26.5921,12.7805,فندق أوباري
179,Lovington,US,82.17,clear sky,32.944,-103.3485,Comfort Inn & Suites Lovington
180,Kirakira,SB,83.08,broken clouds,-10.4544,161.9205,SanBiz Lodge
181,Flagstaff,US,70.32,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
183,Atlantic City,US,74.12,broken clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
187,Hovd,MN,70.65,clear sky,48.0056,91.6419,Hotel Khovd
197,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
198,Solnechnyy,RU,81.1,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
201,Phan Thiet,VN,88.43,broken clouds,10.9333,108.1,Hotel Saigon-PT
203,Kavaratti,IN,81.57,broken clouds,10.5669,72.642,Green leaf
207,Carnarvon,AU,74.7,few clouds,-24.8667,113.6333,Hospitality Carnarvon
210,Jalu,LY,75.99,clear sky,29.0331,21.5482,صاحبة الفخامة
215,Baoqing,CN,75.43,overcast clouds,46.3317,132.2111,Baoqing Hotel
216,Quatre Cocos,MU,74.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
218,Santa Cruz,BO,72.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
219,Bonthe,SL,75.87,light rain,7.5264,-12.505,Bonthe Holiday Village
221,Biltine,TD,73.53,light rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
227,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
228,Bhainsdehi,IN,78.17,overcast clouds,21.6467,77.6325,Prince Rathore HOME
229,Gizo,SB,82.04,light rain,-8.103,156.8419,Imagination Island
231,Bilma,NE,82.17,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
235,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
237,Lakatoro,VU,77.77,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
238,Iturama,BR,72.09,broken clouds,-19.7281,-50.1956,República DominaCana
239,Porto Murtinho,BR,85.26,overcast clouds,-21.6989,-57.8825,Hotel Pantanal
240,Buala,SB,84.04,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
241,Inirida,CO,72.25,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
242,Bose,IT,72.84,scattered clouds,45.4612,8.0137,Locanda Borgo Antico
244,Cap Malheureux,MU,74.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
246,Olinda,BR,74.59,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
249,Puerto Maldonado,PE,75.33,broken clouds,-12.6,-69.1833,Wasai Hotel
250,Dongsheng,CN,81.28,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
253,Scalea,IT,76.51,clear sky,39.813,15.7956,Grand Hotel de Rose
256,Pangai,TO,78.4,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
257,Mahibadhoo,MV,82.11,scattered clouds,3.7833,72.9667,Omadhoo Inn
263,Xinzhou,CN,76.57,overcast clouds,38.4092,112.7333,Shell Hotel - Xinzhou
265,Gornyak,RU,81.23,scattered clouds,50.9942,81.4661,"Комфорт ""Danilo"""
268,Kontagora,NG,71.06,light rain,10.3999,5.4695,Queens Guest Inn
269,Lasalgaon,IN,74.1,overcast clouds,20.15,74.2333,Dhanraj Hotel
270,Sao Bras De Alportel,PT,75.88,clear sky,37.1531,-7.8875,Casa Kalu
274,Baruun-Urt,MN,70.3,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
275,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
