City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Karatau,KZ,43.1667,70.4667,88.16,19,0,12.5,clear sky
122,Ancud,CL,-41.8697,-73.8203,39.22,82,3,4.18,clear sky
123,Puerto Ayora,EC,-0.7393,-90.3518,68.56,93,98,5.01,overcast clouds
124,Shache,CN,38.4167,77.2406,85.35,25,53,5.37,broken clouds
125,Sungaipenuh,ID,-2.0833,101.3833,80.17,49,82,5.1,broken clouds
126,Mataura,NZ,-46.1927,168.8643,47.48,81,71,5.17,broken clouds
127,Kapoeta,SS,4.7717,33.5903,75.33,67,89,9.37,overcast clouds
128,Tucuma,BR,-0.1833,-50.05,74.12,93,49,5.46,scattered clouds
129,Broome,US,42.2506,-75.833,63.55,73,98,1.01,overcast clouds
130,Biggar,GB,55.6167,-3.5167,49.91,92,68,2.73,broken clouds
131,Bacolod,PH,10.6667,122.95,84.69,78,93,5.75,light rain
132,Bambous Virieux,MU,-20.3428,57.7575,74.21,69,77,15.79,broken clouds
133,Palimbang,PH,6.2106,124.1894,82.81,82,78,5.48,broken clouds
134,Biak,ID,-0.9131,122.8766,76.59,87,100,8.48,overcast clouds
135,New Norfolk,AU,-42.7826,147.0587,55.92,75,98,3.0,overcast clouds
136,Faanui,PF,-16.4833,-151.75,77.25,68,36,24.49,light rain
137,Las Vegas,US,36.175,-115.1372,96.58,30,90,1.99,overcast clouds
138,Port Elizabeth,ZA,-33.918,25.5701,56.77,68,87,7.78,overcast clouds
139,Jinotega,NI,13.0917,-86.0018,63.39,98,24,4.34,few clouds
140,Kawalu,ID,-7.3817,108.2082,78.82,87,86,3.85,overcast clouds
141,Hidalgotitlan,MX,17.7833,-94.6333,74.35,96,99,4.45,overcast clouds
142,Ribeira Grande,PT,38.5167,-28.7,69.55,91,6,6.49,clear sky
143,Wahpeton,US,46.2652,-96.6059,73.42,78,0,4.61,clear sky
144,Georgetown,MY,5.4112,100.3354,87.73,79,20,9.22,few clouds
145,Saskylakh,RU,71.9167,114.0833,63.54,42,67,2.62,broken clouds
146,Puerto Escondido,MX,15.85,-97.0667,79.88,83,100,8.43,overcast clouds
147,Harper,LR,4.375,-7.7169,74.01,88,100,8.75,light rain
148,Ust-Nera,RU,64.5667,143.2,80.73,43,73,2.68,broken clouds
149,Visnes,NO,59.3556,5.2242,54.82,87,40,13.8,scattered clouds
150,Cravo Norte,CO,6.3017,-70.2041,75.7,83,83,4.03,broken clouds
151,Umm Lajj,SA,25.0213,37.2685,84.47,56,3,8.05,clear sky
152,Ronne,DK,55.1009,14.7066,55.31,88,100,11.5,overcast clouds
153,Pachino,IT,36.7186,15.0907,77.43,54,0,2.26,clear sky
154,Buraydah,SA,26.326,43.975,92.8,9,98,4.38,overcast clouds
155,Hilo,US,19.7297,-155.09,81.28,91,100,5.75,overcast clouds
156,Houma,US,29.5958,-90.7195,77.0,93,1,2.53,clear sky
157,Ulladulla,AU,-35.35,150.4667,55.67,52,100,11.18,overcast clouds
158,Margate,GB,51.3813,1.3862,62.87,78,40,1.01,scattered clouds
159,Portland,US,45.5234,-122.6762,73.89,66,0,5.01,clear sky
160,Senanga,ZM,-16.1167,23.2667,49.39,53,0,6.13,clear sky
161,Anton,PA,8.4,-80.2667,80.85,88,24,8.77,few clouds
162,Komsomolskiy,UZ,40.4272,71.7189,92.12,21,0,6.91,clear sky
163,Padang,ID,-0.9492,100.3543,87.85,65,83,5.97,broken clouds
164,Santarem,BR,-2.4431,-54.7083,73.53,100,0,0.0,clear sky
165,Ginda,IN,30.6945,78.4932,80.62,54,14,5.73,few clouds
166,Kaitangata,NZ,-46.2817,169.8464,43.45,72,18,11.56,few clouds
167,Kuryk,KZ,43.2,51.65,92.17,27,0,16.33,clear sky
168,Olafsvik,IS,64.8945,-23.7142,51.1,89,100,19.42,overcast clouds
169,Leningradskiy,RU,69.3833,178.4167,43.0,69,100,5.21,overcast clouds
170,Danjiangkou,CN,32.5428,111.5086,95.56,53,100,7.47,overcast clouds
171,Manoel Urbano,BR,-8.8389,-69.2597,74.59,84,51,2.62,broken clouds
172,Paamiut,GL,61.994,-49.6678,39.7,84,100,2.84,overcast clouds
173,Brewster,US,41.3973,-73.6171,70.36,86,0,0.0,clear sky
174,Isangel,VU,-19.55,169.2667,71.85,67,83,20.31,broken clouds
175,Cherskiy,RU,68.75,161.3,70.03,43,90,21.09,overcast clouds
176,Yeppoon,AU,-23.1333,150.7333,71.38,73,24,13.11,few clouds
177,Boguchany,RU,58.3814,97.4531,71.74,38,94,5.23,overcast clouds
178,Awbari,LY,26.5921,12.7805,75.45,27,0,8.77,clear sky
179,Lovington,US,32.944,-103.3485,82.17,37,5,1.01,clear sky
